national_dropdown_label,output_file
Population,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/001_Population.pdf
Percent of People with Disabilities,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/002_Percent of People with Disabilities.pdf
Percent of People without Disabilities,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/003_Percent of People without Disabilities.pdf
Percent of People with a Hearing Disability,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/004_Percent of People with a Hearing Disability.pdf
Percent of People with a Vision Disability,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/005_Percent of People with a Vision Disability.pdf
Percent of People with a Cognitive Disability,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/006_Percent of People with a Cognitive Disability.pdf
Percent of People with an Ambulatory Disability,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/007_Percent of People with an Ambulatory Disability.pdf
Percent of People with a Self Care Disability,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/008_Percent of People with a Self Care Disability.pdf
Percent of People with an Independent Living Disability,https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/009_Percent of People with an Independent Living Disability.pdf
"Percent of People with Disabilities, White alone","https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/010_Percent of People with Disabilities, White alone.pdf"
"Percent of People with Disabilities, Black alone","https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/011_Percent of People with Disabilities, Black alone.pdf"
"Percent of People with Disabilities, Hispanic alone","https://raw.githubusercontent.com/sean-connelly/ADA-PARC-Website-Design/master/factsheet_national/output_files/012_Percent of People with Disabilities, Hispanic alone.pdf"
